Manufactorer,Model,Manufactured_Year,Supply_Score
רנו,THALIA,2003,10
רנו,MEGANE,2015,213
רנו,CLIO III,2013,78
רנו,מגאן TR 6.1 5 דלתות,1997,2
רנו,GEREND SCENIC,2007,3
רנו,1 KANGOO,2000,0
רנו,FLUENCE,2014,59
רנו,מגאן TR 6.1 אוטו 5 ד,1996,1
רנו,MEGANE,2001,5
רנו,CLIO,2015,3
רנו,CLIO II,2003,13
רנו,FLUENCE,2015,35
רנו,1TRAFIC,2004,0
רנו,CAPTUR,2013,10
רנו,CLIO II,2002,9
רנו,MEGANE II,2004,0
רנו,MEGANE,2011,85
רנו,TRAFIC,2014,3
רנו,MEGANE,2003,1
רנו,LAGUNA,2007,1
רנו,SANDERO,2009,2
רנו,MEGANE,2012,5
רנו,1TRAFIC,2005,0
רנו,MEGANE,2013,272
רנו,MEGANE,2000,2
רנו,FLUENCE,2012,179
רנו,CLIO,2014,85
רנו,MEGANE,2000,3
רנו,KANGOO,2014,26
רנו,מגאן NR TUY' 4דלתות,1997,0
רנו,SCENIC,2000,0
רנו,KANGOO,2015,69
רנו,מגאן TR 6.1 5 דלתות,1998,0
רנו,מגאן דיזל D 9.1 NR,1999,0
רנו,FLUENCE,2014,30
רנו,SCENIC,2001,3
רנו,CLIO 3,2009,70
רנו,KANGOO,2013,134
רנו,KANGOO,2004,0
רנו,CLIO,2015,7
רנו,CLIO II,2004,11
רנו,91 NR I4.1 4 דלתות,1996,0
רנו,SCENIC II,2007,5
רנו,CLIO,2015,32
רנו,GRAND SCENIC,2014,11
רנו,CLIO B,2002,4
רנו,CAPTUR,2014,13
רנו,MASTER,2003,0
רנו,SCENIC II,2005,0
רנו,KANGOO,2004,16
רנו,MEGANE II,2007,7
רנו,קליאו 2 INR אוטומטי,1996,0
רנו,MEGANE,2001,1
רנו,KANGOO,2013,11
רנו,LATITUDE,2013,205
רנו,CLIO II,2003,7
רנו,KANGOO,2001,0
רנו,CAPTUR,2014,131
רנו,FLUENCE,2015,71
רנו,קליאו 3 ITR 4.1,1997,0
רנו,KANGOO,2008,74
רנו,KOLEOS,2009,66
רנו,1TRAFIC,2004,0
רנו,MEGANE,2015,41
רנו,MEGANE II,2004,1
רנו,SCENIC,2002,3
רנו,FLUENCE,2012,2
רנו,FLUENCE,2015,409
רנו,FLUENCE,2010,133
רנו,KANGOO,1998,0
רנו,KANGOO,2003,5
רנו,MEGANE II,2008,37
רנו,CLIO II,2003,40
רנו,MEGANE II,2004,1
רנו,מאגן TR 6.1 4 דלתות,1997,1
רנו,FLUENCE,2013,27
רנו,FLUENCE,2014,71
רנו,FLUENCE,2013,609
רנו,רנו מגאן קלאסיק NR D,1999,0
רנו,THALIA,2006,63
רנו,CLIO III,2010,15
רנו,SCENIC,1999,0
רנו,MEGANE,2003,4
רנו,CAPTUR,2014,59
רנו,TRAFIC,2007,6
רנו,CLIO,2015,72
רנו,רנו סאפראן EXR,1997,0
רנו,CLIO,2015,0
רנו,TWINGO,1999,0
רנו,SCENIC,2000,0
רנו,MASTER,1999,2
רנו,KOLEOS,2010,59
רנו,MEGANE II,2007,2
רנו,FLUENCE,2015,9
רנו,מגאן+TR 6.1 אוט 5 דל,1999,0
רנו,MEGANE,2015,86
רנו,MEGANE II,2007,24
רנו,SCENIC II,2009,10
רנו,לגונה 8.1 נבדה TR,1996,0
רנו,TRAFIC,2008,3
רנו,MEGANE,2013,10
רנו,SCENIC II,2007,0
רנו,FLUENCE,2015,23
רנו,KANGOO,2005,1
רנו,SCENIC,2000,0
רנו,1TRAFIC,2005,6
רנו,MEGANE,2011,68
רנו,KANGOO,2012,9
רנו,KANGOO,2005,1
רנו,KANGOO 2,2011,3
רנו,MEGANE,2001,0
רנו,FLUENCE,2011,10
רנו,CLIO 3,2009,69
רנו,CLIO B,2001,13
רנו,MEGANE,2015,20
רנו,MEGANE II,2005,1
רנו,MEGANE,2012,0
רנו,MEGANE II,2005,0
רנו,KANGOO,2007,1
רנו,FLUENCE Z.E.,2014,8
רנו,FLUENCE,2015,30
רנו,CLIO,2015,1
רנו,SCENIC II,2006,0
רנו,TRAFIC,2011,5
רנו,SCENIC,2002,1
רנו,CAPTUR,2013,26
רנו,KANGOO 2,2011,5
רנו,MEGANE,2015,22
רנו,SCENIC II,2005,0
רנו,MASTER,2004,1
רנו,CLIO III,2010,27
רנו,CAPTUR,2013,9
רנו,CLIO,2014,74
רנו,FLUENCE,2012,14
רנו,CAPTUR,2015,125
רנו,TRHFIC,2009,4
רנו,1TRAFIC,2003,1
רנו,MEGANE II,2004,3
רנו,MEGANE,2011,21
רנו,MEGANE II,2007,0
רנו,CLIO B,1999,0
רנו,TRAFIC,2013,9
רנו,LOGAN MCV,2009,168
רנו,FLUENCE,2015,8
רנו,אקספרס קמביAE D9.1AD,1998,0
רנו,SCENIC II,2006,0
רנו,CLIO,2015,29
רנו,MEGANE,2013,43
רנו,SCENIC,2000,0
רנו,מגאן LR 4.1 5 דלתות,1999,0
רנו,CLIO B,2000,3
רנו,מגאן NR4.1 4דלתות,1998,0
רנו,MEGANE,2015,1
רנו,לגונה 5 דלתות,1999,0
רנו,KANGOO,2007,27
רנו,KOLEOS,2010,5
רנו,GRAND SCENIC,2015,1
רנו,MEGANE II,2007,0
רנו,CLIO B,2001,7
רנו,MEGANE II,2004,0
רנו,KANGOO 2,2010,318
רנו,KANGOO,2003,5
רנו,CLIO B,2001,8
רנו,SCENIC II,2004,1
רנו,מגאן TR 6.1 5דלתו,1999,2
רנו,SCENIC II,2006,12
רנו,LOGAN MCV,2012,24
רנו,KANGOO,2015,19
רנו,SCENIC II,2006,1
רנו,CLIO,2015,39
רנו,MEGANE II,2008,21
רנו,מגאן NR 6.1 5 דלתות,1997,1
רנו,FLUENCE,2014,1
רנו,FLUENCE,2015,20
רנו,KANGOO,2015,67
רנו,MEGANE,2013,1
רנו,MEGANE,2000,2
רנו,GRAND SCENIC,2013,46
רנו,KANGOO,2000,0
רנו,CLIO II,2003,5
רנו,מגאן NR 6.1 EPUOC,1997,0
רנו,MEGANE II,2007,0
רנו,SCENIC,1999,0
רנו,FLUENCE,2015,33
רנו,THALIA,2005,25
רנו,KANGOO,2002,2
רנו,KANGOO,2012,30
רנו,FLUENCE Z.E.,2013,26
רנו,SCENIC,2002,5
רנו,LAGUNA,2003,2
רנו,CLIO,2014,2
רנו,SCENIC,2001,1
רנו,מגאן TR L2 V61 EPUOC,1997,0
רנו,SCENIC,2004,0
רנו,CLIO,2015,0
רנו,GEREND SCENIC,2011,117
רנו,CLIO III,2012,328
רנו,KANGOO,2004,2
רנו,SCENIC II,2007,4
רנו,SCENIC,2000,5
רנו,SCENIC,2000,0
רנו,SCENIC,2004,0
רנו,FLUENCE,2014,25
רנו,קליאו 3 EZILA 4.1,1997,0
רנו,CLIO III,2013,3
רנו,TRAFIC,2011,31
רנו,CLIO,2015,40
רנו,MEGANE II,2009,275
רנו,CLIO,2014,178
רנו,KANGOO,2011,363
רנו,FLUENCE,2013,38
רנו,MEGANE,2001,0
רנו,FLUENCE,2012,757
רנו,MEGANE,2014,6
רנו,מאגן NR6.1 4דלתות,1998,0
רנו,1 KANGOO,2001,0
רנו,CLIO,2014,70
רנו,MEGANE II,2006,3
רנו,CLIO II,2002,4
רנו,מגאן TR 6.1 אוטו 5 ד,1997,1
רנו,91 3TR I4.1 4 דלתות,1996,0
רנו,MEGANE,2000,1
רנו,MASTER,2005,3
רנו,CLIO III,2011,3
רנו,MEGANE II,2007,1
רנו,KOLEOS,2011,88
רנו,1TRAFIC,2006,1
רנו,MEGANE,2004,1
רנו,SCENIC,2004,12
רנו,מגאן LR4.1 4דלתות,1999,0
רנו,CLIO,2015,40
רנו,KANGOO,1998,0
רנו,SCENIC,2001,1
רנו,1TRAFIC,2004,0
רנו,TRAFIC,2007,1
רנו,CLIO,2015,4
רנו,FLUENCE,2009,0
רנו,CLIO 3,2010,116
רנו,CAPTUR,2015,10
רנו,THALIA,2004,2
רנו,MEGANE II,2004,0
רנו,SCENIC II,2007,5
רנו,FLUENCE,2014,4
רנו,מאסטר סגור,1999,0
רנו,MEGANE II,2004,24
רנו,FLUENCE,2012,37
רנו,LAGUNA,1999,0
רנו,מאגן NR6.1 4דלתות,1997,0
רנו,MEGANE,2014,94
רנו,KANGOO,2015,106
רנו,FLUENCE,2015,304
רנו,SCENIC II,2007,17
רנו,CLIO III,2011,244
רנו,FLUENCE,2013,274
רנו,מגאן+TR 6.1 אוט 5 דל,1998,0
רנו,MEGANE,2003,0
רנו,KANGOO,2015,499
רנו,KANGOO,2013,121
רנו,MEGANE,2004,3
רנו,MEGANE,2001,3
רנו,MEGANE II,2008,26
רנו,מגאן NR TUY' 4דלתות,1998,0
רנו,מגאן סיניק TR L6.1,1999,0
רנו,CLIO 3,2009,3
רנו,FLUENCE,2013,3
רנו,CLIO 3,2006,0
רנו,CLIO III,2012,1
רנו,מאגן TR 6.1 4 דלתות,1998,0
רנו,KOLEOS,2011,131
רנו,MEGANE II,2006,0
רנו,FLUENCE Z.E.,2011,0
רנו,KANGOO,2006,0
רנו,מגאן NR 6.1 אוטו 5 ד,1996,1
רנו,מאגן TR+SBA אוטו' 4ד,1997,0
רנו,CLIO B,1999,0
רנו,MEGANE,2003,0
רנו,TRAFIC,2014,10
רנו,CAPTUR,2015,63
רנו,מגאן NR D9.1 5 דלתות,1997,0
רנו,CLIO II,2003,4
רנו,מגאן NR 4.1 5 דלתות,1997,1
רנו,CLIO B,2001,10
רנו,1TRAFIC,2006,4
רנו,MEGANE,2004,3
רנו,SCENIC,2001,2
רנו,MEGANE II,2008,10
רנו,FLUENCE Z.E.,2013,30
רנו,MEGANE,2003,25
רנו,LOGAN MCV,2011,226
רנו,KANGOO,2003,18
רנו,CLIO II,2003,1
רנו,KANGOO,2013,9
רנו,KANGOO,2013,3
רנו,CLIO,2015,36
רנו,MEGANE,2015,0
רנו,MEGANE,2004,24
רנו,מגאן LR 4.1 5 דלתות,1996,0
רנו,KANGOO,2015,345
רנו,CAPTUR,2013,49
רנו,TRAFIC,2009,4
רנו,לגונה אוטו' L0.2 EXR,1997,0
רנו,CLIO,2014,22
רנו,CLIO B,2001,1
רנו,FLUENCE,2015,76
רנו,CLIO,2014,32
רנו,GEREND SCENIC,2005,0
רנו,CLIO,2015,11
רנו,FLUENCE,2015,48
רנו,CLIO,2013,156
רנו,קליאו 3 ITR 4.1,1996,0
רנו,FLUENCE,2014,9
רנו,CLIO 3,2009,7
רנו,מגאן TR L2 V61 EPUOC,1996,1
רנו,CLIO,2013,97
רנו,אקספרס קומבי AE_חצי,1998,0
רנו,SCENIC,2010,3
רנו,CLIO 3,2007,1
רנו,TRAFIC,2013,4
רנו,MASTER,2001,0
רנו,MEGANE,2013,28
רנו,KANGOO,2007,28
רנו,MEGANE,2000,3
רנו,TRAFIC,2008,0
רנו,CLIO,2011,4
רנו,CLIO 3,2007,26
רנו,CLIO II,2003,2
רנו,KANGOO,2011,0
רנו,LATITUDE,2012,0
רנו,MEGANE,2000,0
רנו,LOGAN,2009,369
רנו,MEGANE II,2007,92
רנו,FLUENCE,2014,87
רנו,MEGANE,2001,1
רנו,GRAND SCENIC,2015,113
רנו,KANGOO,2009,190
רנו,FLUENCE,2014,55
רנו,MEGANE,2014,27
רנו,MEGANE,2012,23
רנו,MEGANE,2015,24
רנו,CLIO,2002,0
רנו,1 KANGOO,2001,8
רנו,MASTER,2002,5
רנו,TRAFIC,2008,12
רנו,MEGANE,2004,12
רנו,MEGANE II,2007,0
רנו,מגאן סיניק אוטו' TR,1999,1
רנו,FLUENCE,2015,10
רנו,MEGANE II,2005,2
רנו,מגאן TR 6.1 אוטו 5 ד,1998,1
רנו,מגאן דיזל D 9.1 NR,1997,0
רנו,MEGANE,2013,25
רנו,FLUENCE,2011,50
רנו,FLUENCE,2013,3
רנו,FLUENCE,2014,83
רנו,CLIO,2014,118
רנו,מגאן NR 6.1 EPUOC,1998,1
רנו,מגאן NR6.1 אוט EPUOC,1997,0
רנו,KOLEOS,2009,78
רנו,מגאן NR 6.1 אוטו 5 ד,1998,0
רנו,קליאו 2ISR 8.1 3 דלת,1997,0
רנו,CLIO,2015,77
רנו,GEREND SCENIC,2007,1
רנו,KANGOO,2007,12
רנו,KANGOO,2012,303
רנו,CLIO III,2011,348
רנו,CLIO,2013,136
רנו,MEGANE II,2007,3
רנו,CLIO 3,2010,0
רנו,CLIO 3,2011,1
רנו,KANGOO,2014,0
רנו,FLUENCE Z.E.,2012,35
רנו,CAPTUR,2013,89
רנו,MEGANE II,2004,0
רנו,KANGOO,2014,48
רנו,מגאן NR 6.1 אוטו 5 ד,1997,0
רנו,SCENIC II,2007,1
רנו,CLIO,2015,102
רנו,MEGANE II,2004,6
רנו,KANGOO 2,2010,297
רנו,GRAND SCENIC,2013,4
רנו,FLUENCE,2011,298
רנו,MEGANE,2004,16
רנו,FLUENCE,2013,0
רנו,KANGOO,2015,0
רנו,FLUENCE,2013,1272
רנו,SCENIC II,2006,2
רנו,MEGANE II,2007,0
רנו,LAGUNA,2003,0
רנו,מגאן NR 6.1 EPUOC,1998,0
רנו,MEGANE II,2006,2
רנו,CLIO,2015,68
רנו,SCENIC,2010,0
רנו,FLUENCE,2015,14
רנו,SCENIC,2010,0
רנו,CAPTUR,2014,35
רנו,GRAND SCENIC,2014,3
רנו,KANGOO,2007,0
רנו,TRAFIC,2014,29
רנו,MEGANE,2014,61
רנו,מגאן NR 6.1 EPUOC,1999,0
רנו,CLIO,2015,286
רנו,MEGANE II,2009,4
רנו,קליאו 3 EZILA אוטו',1997,0
רנו,CLIO,2014,1
רנו,CLIO B,2002,15
רנו,מגאן סיניק אוט' TR L,1999,0
רנו,FLUENCE,2013,1
רנו,FLUENCE,2015,16
רנו,MEGANE,2012,61
רנו,SCENIC,2002,13
רנו,MEGANE,2014,64
רנו,KANGOO,2014,47
רנו,CLIO,2015,21
רנו,1 KANGOO,2001,0
רנו,KANGOO,2008,173
רנו,FLUENCE,2012,292
רנו,MEGANE,2002,0
רנו,SCENIC,2003,3
רנו,CAPTUR,2013,24
רנו,FLUENCE,2012,14
רנו,TRAFIC,2014,35
רנו,LAGUNA,2003,0
רנו,CLIO,2015,50
רנו,FLUENCE,2011,59
רנו,TRAFIC,2011,25
רנו,מגאן TR 6.1 4דלתות,1999,0
רנו,MEGANE II,2005,6
רנו,CLIO II,2002,2
רנו,MEGANE,2002,6
רנו,1TRAFIC,2006,0
רנו,1TRAFIC,2005,1
רנו,GRAND SCENIC,2013,11
רנו,FLUENCE,2012,392
רנו,MAGAN,1996,0
רנו,MEGANE II,2005,24
רנו,KANGOO,2009,88
רנו,SCENIC,2004,3
רנו,CLIO,2015,139
רנו,אקספרס סגור D9.1 AD,1998,0
רנו,FLUENCE,2015,6
רנו,CLIO B,2002,2
רנו,FLUENCE,2015,54
רנו,MEGANE,2010,62
רנו,MEGANE,2002,0
רנו,MEGANE,2001,11
רנו,FLUENCE,2015,2
רנו,CAPTUR,2014,203
רנו,מאגן TR אוט' 6.1 4דל,1999,0
רנו,SCENIC,2000,4
רנו,LOGAN MCV,2011,122
רנו,קליאו 3 EZILA I 4.1,1997,1
רנו,מגאן NR 6.1 5 דלתות,1996,0
רנו,MEGANE II,2006,2
רנו,MEGANE II,2005,1
רנו,LAGUNA,2003,10
רנו,MEGANE II,2005,4
רנו,MEGANE II,2004,3
רנו,MEGANE,2004,0
רנו,טווינגו 2.1YSAE 3דלת,1998,0
רנו,CLIO 3,2009,23
רנו,מגאן סיניק TR L6.1,1998,1
רנו,TRAFIC,2011,6
רנו,CLIO,2015,51
רנו,MEGANE,2004,0
רנו,לגונה 8.1 נבדה TR מש,1996,0
רנו,MEGANE II,2008,123
רנו,KANGOO,2006,9
רנו,מגאן LR 4.1 5 דלתות,1997,0
רנו,מאגן TR אוט' 6.1 4דל,1997,0
רנו,MEGANE II,2005,6
רנו,LAGUNA,1999,0
רנו,MEGANE II,2005,0
רנו,91 AD.NR I4.1 4 דלתו,1996,0
רנו,KANGOO,2013,9
רנו,LAGUNA,2003,0
רנו,KANGOO,1999,1
רנו,MEGANE II,2007,27
רנו,KANGOO 2,2009,1
רנו,SCENIC II,2007,2
רנו,CLIO III,2013,151
רנו,מגאן+TR 6.1 אוט 5 דל,1997,0
רנו,מגאן NR6.1 אוט EPUOC,1998,0
רנו,קליאו 2 6.1 TR 5דל',1999,0
רנו,91 PH011 ITR 8.1 5 ד,1996,0
רנו,MEGANE II,2005,8
רנו,MEGANE,2000,1
רנו,CLIO 3,2008,272
רנו,1 KANGOO,2000,0
רנו,TRAFIC,2005,1
רנו,CLIO,2015,106
רנו,KOLEOS,2008,3
רנו,FLUENCE,2013,22
רנו,KANGOO,2006,23
רנו,MEGANE II,2005,1
רנו,KANGOO,2008,121
רנו,FLUENCE,2014,469
רנו,FLUENCE,2010,7
רנו,MEGANE,2015,3
רנו,KOLEOS,2011,7
רנו,LAGUNA,2005,0
רנו,SYMBOL,2009,8
רנו,SCENIC II,2007,0
רנו,SCENIC II,2008,28
